Date,Adj Close,Rets,Adjusted Returns,Returns,,,,,,
2018-09-12,6326.00,0.69%,9.29%,1.097333281,,,,,0.39894228,0.418889394
2018-09-13,6485.99,2.53%,50.11%,1.650491216,,,,,0.39894228,0.418889394
2018-09-14,6478.04,-0.12%,-8.81%,0.915683805,,,,,0.39894228,0.418889394
2018-09-15,6518.68,0.63%,7.85%,1.081703207,,,,,0.39894228,0.418889394
2018-09-16,6498.00,-0.32%,-13.13%,0.876922323,,,,,0.39894228,0.418889394
2018-09-17,6250.70,-3.81%,-90.64%,0.40396097,,,,,0.39894228,0.418889394
2018-09-18,6335.70,1.36%,24.13%,1.272885483,,,,,0.39894228,0.418889394
2018-09-19,6386.94,0.81%,11.88%,1.126190988,,,,,0.39894228,0.418889394
2018-09-20,6493.11,1.66%,30.85%,1.3613627,,,,,0.39894228,0.418889394
2018-09-21,6750.00,3.96%,81.82%,2.266389767,,,,,0.39894228,0.418889394
2018-09-22,6707.33,-0.63%,-20.13%,0.817663769,,,,,0.39894228,0.418889394
2018-09-23,6696.99,-0.15%,-9.51%,0.909279741,,,,,0.39894228,0.418889394
2018-09-24,6582.09,-1.72%,-44.21%,0.642716506,,,,,0.39894228,0.418889394
2018-09-25,6436.89,-2.21%,-55.10%,0.576381011,,,,,0.39894228,0.418889394
2018-09-26,6455.66,0.29%,0.39%,1.003946236,,,,,0.39894228,0.418889394
2018-09-27,6680.01,3.48%,71.13%,2.036626286,,,,,0.39894228,0.418889394
2018-09-28,6620.01,-0.90%,-26.04%,0.770730015,,,,,0.39894228,0.418889394
2018-09-29,6581.00,-0.59%,-19.18%,0.825490018,,,,,0.39894228,0.418889394
2018-09-30,6605.00,0.36%,2.02%,1.020381921,,,,,0.39894228,0.418889394
2018-10-01,6572.83,-0.49%,-16.91%,0.844452585,,,,,0.39894228,0.418889394
2018-10-02,6498.46,-1.13%,-31.22%,0.731800785,,,,,0.39894228,0.418889394
2018-10-03,6466.03,-0.50%,-17.17%,0.842206704,,,,,0.39894228,0.418889394
2018-10-04,6547.45,1.26%,21.89%,1.244735614,,,,,0.39894228,0.418889394
2018-10-05,6593.94,0.71%,9.69%,1.101762164,,,,,0.39894228,0.418889394
2018-10-06,6552.43,-0.63%,-20.07%,0.818141841,,,,,0.39894228,0.418889394
2018-10-07,6570.00,0.27%,-0.13%,0.9987278,,,,,0.39894228,0.418889394
2018-10-08,6608.07,0.58%,6.79%,1.070252509,,,,,0.39894228,0.418889394
2018-10-09,6589.48,-0.28%,-12.34%,0.883948816,,,,,0.39894228,0.418889394
2018-10-10,6524.56,-0.99%,-27.97%,0.755974087,,,,,0.39894228,0.418889394
2018-10-11,6154.69,-5.67%,-132.04%,0.267031366,,,,,0.39894228,0.418889394
2018-10-12,6188.01,0.54%,5.94%,1.061236409,,,,,0.39894228,0.418889394
2018-10-13,6196.00,0.13%,-3.22%,0.968349694,,,,,0.39894228,0.418889394
2018-10-14,6183.49,-0.20%,-10.57%,0.899684956,,,,,0.39894228,0.418889394
2018-10-15,6440.42,4.16%,86.23%,2.368713905,,,,,0.39894228,0.418889394
2018-10-16,6457.11,0.26%,-0.33%,0.996732634,,,,,0.39894228,0.418889394
2018-10-17,6443.70,-0.21%,-10.70%,0.898531578,,,,,0.39894228,0.418889394
2018-10-18,6394.96,-0.76%,-22.89%,0.795399809,,,,,0.39894228,0.418889394
2018-10-19,6382.99,-0.19%,-10.24%,0.902633405,,,,,0.39894228,0.418889394
2018-10-20,6414.00,0.49%,4.71%,1.048217998,,,,,0.39894228,0.418889394
2018-10-21,6415.88,0.03%,-5.43%,0.947111756,,,,,0.39894228,0.418889394
2018-10-22,6407.65,-0.13%,-8.94%,0.914524142,,,,,0.39894228,0.418889394
2018-10-23,6395.14,-0.20%,-10.42%,0.901019065,,,,,0.39894228,0.418889394
2018-10-24,6415.98,0.33%,1.16%,1.011620173,,,,,0.39894228,0.418889394
2018-10-25,6395.58,-0.32%,-13.15%,0.876783227,,,,,0.39894228,0.418889394
2018-10-26,6404.87,0.15%,-2.86%,0.971827598,,,,,0.39894228,0.418889394
2018-10-27,6409.12,0.07%,-4.61%,0.954939407,,,,,0.39894228,0.418889394
2018-10-28,6403.62,-0.09%,-7.99%,0.923192593,,,,,0.39894228,0.418889394
2018-10-29,6266.00,-2.15%,-53.83%,0.58371266,,,,,0.39894228,0.418889394
2018-10-30,6267.63,0.03%,-5.51%,0.946418111,,,,,0.39894228,0.418889394
2018-10-31,6304.18,0.58%,6.87%,1.071133416,,,,,0.39894228,0.418889394
2018-11-01,6344.00,0.63%,7.95%,1.082735746,,,,,0.39894228,0.418889394
2018-11-02,6349.80,0.09%,-4.05%,0.960273249,,,,,0.39894228,0.418889394
2018-11-03,6331.96,-0.28%,-12.33%,0.884021281,,,,,0.39894228,0.418889394
2018-11-04,6423.28,1.44%,25.96%,1.296392509,,,,,0.39894228,0.418889394
2018-11-05,6404.00,-0.30%,-12.75%,0.880257262,,,,,0.39894228,0.418889394
2018-11-06,6448.50,0.69%,9.35%,1.098055075,,,,,0.39894228,0.418889394
2018-11-07,6503.12,0.85%,12.73%,1.135807379,,,,,0.39894228,0.418889394
2018-11-08,6406.24,-1.49%,-39.18%,0.675806123,,,,,0.39894228,0.418889394
2018-11-09,6334.89,-1.11%,-30.83%,0.734687358,,,,,0.39894228,0.418889394
2018-11-10,6347.42,0.20%,-1.69%,0.983238097,,,,,0.39894228,0.418889394
2018-11-11,6357.60,0.16%,-2.52%,0.975098644,,,,,0.39894228,0.418889394
2018-11-12,6327.87,-0.47%,-16.48%,0.848105243,,,,,0.39894228,0.418889394
2018-11-13,6259.34,-1.08%,-30.15%,0.739727503,,,,,0.39894228,0.418889394
2018-11-14,5605.46,-10.45%,-238.19%,0.092375533,,,,,0.39894228,0.418889394
2018-11-15,5579.52,-0.46%,-16.37%,0.849022706,,,,,0.39894228,0.418889394
2018-11-16,5512.24,-1.21%,-32.88%,0.719809187,,,,,0.39894228,0.418889394
2018-11-17,5504.17,-0.15%,-9.34%,0.910848473,,,,,0.39894228,0.418889394
2018-11-18,5560.00,1.01%,16.45%,1.178822318,,,,,0.39894228,0.418889394
2018-11-19,4733.50,-14.87%,-336.36%,0.03460885,,,,,0.39894228,0.418889394
2018-11-20,4349.23,-8.12%,-186.46%,0.15496366,,,,,0.39894228,0.418889394
2018-11-21,4545.11,4.50%,93.98%,2.559521632,,,,,0.39894228,0.418889394
2018-11-22,4265.36,-6.15%,-142.84%,0.239694946,,,,,0.39894228,0.418889394
2018-11-23,4283.80,0.43%,3.52%,1.03583114,,,,,0.39894228,0.418889394
2018-11-24,3774.99,-11.88%,-269.99%,0.067215289,,,,,0.39894228,0.418889394
2018-11-25,3936.69,4.28%,89.09%,2.43724021,,,,,0.39894228,0.418889394
2018-11-26,3731.32,-5.22%,-121.99%,0.295245959,,,,,0.39894228,0.418889394
2018-11-27,3775.00,1.17%,19.92%,1.220481465,,,,,0.39894228,0.418889394
2018-11-28,4225.03,11.92%,258.79%,13.30156725,,,,,0.39894228,0.418889394
2018-11-29,4248.00,0.54%,5.99%,1.061776274,,,,,0.39894228,0.418889394
2018-11-30,3976.00,-6.40%,-148.35%,0.226842277,,,,,0.39894228,0.418889394
2018-12-01,4142.01,4.18%,86.68%,2.379371489,,,,,0.39894228,0.418889394
2018-12-02,4103.19,-0.94%,-26.91%,0.764076289,,,,,0.39894228,0.418889394
2018-12-03,3833.47,-6.57%,-152.14%,0.218414087,,,,,0.39894228,0.418889394
2018-12-04,3901.84,1.78%,33.54%,1.39852157,,,,,0.39894228,0.418889394
2018-12-05,3694.39,-5.32%,-124.21%,0.288764606,,,,,0.39894228,0.418889394
2018-12-06,3433.26,-7.07%,-163.13%,0.195672436,,,,,0.39894228,0.418889394
2018-12-07,3380.01,-1.55%,-40.55%,0.666670395,,,,,0.39894228,0.418889394
2018-12-08,3401.00,0.62%,7.71%,1.080179059,,,,,0.39894228,0.418889394
2018-12-09,3531.18,3.83%,78.96%,2.202524419,,,,,0.39894228,0.418889394
2018-12-10,3410.15,-3.43%,-82.24%,0.439384604,,,,,0.39894228,0.418889394
2018-12-11,3349.36,-1.78%,-45.69%,0.633230442,,,,,0.39894228,0.418889394
2018-12-12,3430.24,2.41%,47.57%,1.609104838,,,,,0.39894228,0.418889394
2018-12-13,3265.00,-4.82%,-113.11%,0.322662789,,,,,0.39894228,0.418889394
2018-12-14,3195.71,-2.12%,-53.24%,0.587210736,,,,,0.39894228,0.418889394
2018-12-15,3183.00,-0.40%,-14.92%,0.861381363,,,,,0.39894228,0.418889394
2018-12-16,3195.00,0.38%,2.29%,1.02317808,,,,,0.39894228,0.418889394
2018-12-17,3496.82,9.45%,203.80%,7.67558504,,,,,0.39894228,0.418889394
2018-12-18,3667.77,4.89%,102.53%,2.788066747,,,,,0.39894228,0.418889394
2018-12-19,3682.51,0.40%,2.84%,1.028848959,,,,,0.39894228,0.418889394
2018-12-20,4075.34,10.67%,230.93%,10.06728465,,,,,0.39894228,0.418889394
